Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;1;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;2;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;3;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;4;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;5;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;6;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;7;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;8;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;9;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;10;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;11;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;12;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;13;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;14;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;15;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;16;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;17;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;18;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;19;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;20;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;21;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;22;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;23;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
1;24;1;0.04689655172413793;0.5351724137931034;0.11;0.22;Person;False;0;0;0;0;0;Annotador6
